"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Shih, C.; Liang, B.-C.","Shih, Chihhsiong (15019649600); Liang, Bwocheng (50761285900)","15019649600; 50761285900","A model driven software framework for Zigbee based energy saving systems","2012","","","","6169751","487","492","0","8","10.1109/ISMS.2012.62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860014022&doi=10.1109%2FISMS.2012.62&partnerID=40&md5=6e2b6fc10afb9e893e958365c5ffb641","While wireless sensor network drives the trend toward low-cost, in many industrial applications, it is not this factor that impacts on the rapid deployment of products on the markets but the rapidly changing application environment and design requirements. How to rapidly construct application software for different design requirements and operate smoothly are major challenges. An automatic embedded software generation framework that can create and evolve Zigbee applications is proposed. The framework consists of several major modules: pattern extraction, code generation and architecture mapping. Pattern extraction and development are designed to provide Zigbee application with the benefit of model reuse and modification. SysML serves as a medium between pattern development and code generation. State diagrams, class diagrams and sequence diagram help describes a specific application scenario. This research provides an embedded software development framework that integrates the heterogeneous readers and sensors interfaces with an optimal energy control model to enhance the quality of digital home living environments. The framework allows rapid deployment of the supporting software for a suite of energy control and sensing devices aiming not only at energy saving but allowing individual residents to monitor their energy use at any time. The closely similar pattern of power consumption profiles among hand written code and model derived code indicate that our tool has successfully completed the goal in synthesizing the required component codes and function successfully in controlling the comfort level with minimum amount of energy consumption. The stored energy efficient pattern can be reused at will for real world application of energy saving deployments. © 2012 IEEE. © 2012 Elsevier B.V., All rights reserved.","Design reuse; Embedded software framework; Zigbee application pattern; Zigbee based code generation","Application environment; Application scenario; Application softwares; Class diagrams; Code Generation; Comfort level; Component codes; Control model; Design requirements; Design reuse; Digital home; Energy saving systems; Energy use; Living environment; Model re-use; Model-driven; Optimal energy; Pattern extraction; Real-world application; Sensing devices; Sequence diagrams; Similar pattern; Software frameworks; Software generation; State diagram; Stored energy; Computer programming; Digital devices; Embedded software; Energy efficiency; Energy utilization; Industrial applications; Intelligent systems; Network components; Product design; Sensors; Software design; Wireless sensor networks; Zigbee","Conference paper","Final","","Scopus","2-s2.0-84860014022"
"Chow, G.C.T.; Tse, A.H.T.; Jin, Q.; Luk, W.; Leong, P.H.W.; Thomas, D.B.","Chow, Gary Chun Tak (21933527400); Tse, Anson Hong Tak (35312630500); Jin, Qiwei (24824502000); Luk, Wayne W.C. (26029526200); Leong, W. Y. (7005928205); Thomas, David Barrie J. (8571690800)","21933527400; 35312630500; 24824502000; 26029526200; 7005928205; 8571690800","A mixed precision Monte Carlo methodology for reconfigurable accelerator systems","2012","ACM/SIGDA International Symposium on Field Programmable Gate Arrays - FPGA","","","","57","66","0","33","10.1145/2145694.2145705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863417900&doi=10.1145%2F2145694.2145705&partnerID=40&md5=fb54c16041ee488111292983ccc2364a","This paper introduces a novel mixed precision methodology applicable to any Monte Carlo (MC) simulation. It involves the use of data-paths with reduced precision, and the resulting errors are corrected by auxiliary sampling. An analytical model is developed for a reconfigurable accelerator system with a field-programmable gate array (FPGA) and a general purpose processor (GPP). Optimisation based on mixed integer geometric programming is employed for determining the optimal reduced precision and optimal resource allocation among the MC data-paths and correction datapaths. Experiments show that the proposed mixed precision methodology requires up to 11 % additional evaluations while less than 4 % of all the evaluations are computed in the reference precision; the resulting designs are up to 7.1 times faster and 3.1 times more energy efficient than baseline double precision FPGA designs, and up to 163 times faster and 170 times more energy efficient than quad-core software designs optimised with the Intel compiler and Math Kernel Library. Our methodology also produces designs for pricing Asian options which are 4.6 times faster and 5.5 times more energy efficient than NVIDIA Tesla C2070 GPU implementations. © 2012 ACM. © 2012 Elsevier B.V., All rights reserved.","mixed precision; Monte Carlo","Accelerator system; Asian options; Data-paths; Double precision; Energy efficient; FPGA design; General purpose processors; Geometric programming; GPU implementation; Kernel libraries; Mixed integer; Mixed precision; MONTE CARLO; Monte Carlo simulations; Optimal resource allocation; Optimisations; Re-configurable; Reduced precision; Design; Economics; Energy efficiency; Field programmable gate arrays (FPGA); Integer programming; Optimization; Particle accelerators; Monte Carlo methods","Conference paper","Final","","Scopus","2-s2.0-84863417900"
"Capra, E.; Francalanci, C.; Slaughter, S.A.","Capra, Eugenio (22978190200); Francalanci, Chiara (6701736609); Slaughter, Sandra A. (7005458710)","22978190200; 6701736609; 7005458710","Measuring application software energy efficiency","2012","IT Professional","14","2","6171963","54","61","0","39","10.1109/MITP.2012.39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859168181&doi=10.1109%2FMITP.2012.39&partnerID=40&md5=e230ee8577cb37db3d6e7d065f96cc9b","Researchers have studied the energy efficiency of hardware, but what about application software? Using an experimental approach, the authors show how applications affect total energy consumption and discuss design factors that could influence software energy efficiency. © 2006 IEEE. © 2012 Elsevier B.V., All rights reserved.","application development environment; green IT; information technology; software design; software energy efficiency","Application development environment; Application softwares; Design factors; Experimental approaches; Green IT; Measuring applications; Total energy consumption; Computer software; Energy utilization; Information technology; Software design; Energy efficiency","Article","Final","","Scopus","2-s2.0-84859168181"
"Kipp, A.; Jiang, T.; Fugini, M.; Salomie, I.","Kipp, Alexander (25122728300); Jiang, Tao (38961415400); Fugini, Mariagrazia Grazia (35614277100); Salomie, Ioan (15124243900)","25122728300; 38961415400; 35614277100; 15124243900","Layered Green Performance Indicators","2012","Future Generation Computer Systems","28","2","","478","489","0","49","10.1016/j.future.2011.05.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053620694&doi=10.1016%2Fj.future.2011.05.005&partnerID=40&md5=975687512e07f0ef5bf3dc9e0dc5beb4","This paper presents a novel approach to characterising energy consumption in IT service centres comprising the whole system view, from the IT infrastructures, to the applications and their design and execution environments. The approach is based on a set of energy-related metrics called Green Performance Indicators (GPIs) which enable monitoring the energy consumption level of the IT service centre in terms of computing resource usage, impact on the environment, costs/efforts required to develop and redesign applications and reconfiguring the IT-infrastructure. Our approach, which is framed within the EU Project GAMES [15] about green IT, defines four layers of GPIs allowing for a comprehensive description of energy consumptions at various system levels, in relation to a given Quality of Service (QoS), to impact on the environment (consumables, power, emissions, cooling systems, and so on) and to high-level business objectives. These GPI metrics are defined to measure the ""greenness"" of a computing environment, and more precisely, to detect where the IT service centre wastes energy. The monitoring and evaluation of GPIs allows the introduction of energy efficiency measures through interventions at various levels (e.g., improving IT resource usage or changing the QoS), allowing for an adaptation and optimisation of the according execution modes. © 2011 Elsevier B.V. All rights reserved. © 2011 Elsevier B.V., All rights reserved.","Efficiency (G.4); Engineering (J2); Software configuration management (D2.9); Software development (K6.3); Software maintenance (K6.3)","Business objectives; Computing environments; Computing resource; Consumables; Efficiency measure; Execution environments; Green IT; Impact on the environment; IT infrastructures; IT resources; IT services; Optimisations; Performance indicators; Software configuration management (D2.9); System levels; Benchmarking; Computer software maintenance; Cooling systems; Energy conversion; Energy efficiency; Energy utilization; Monitoring; Quality of service; Software design; Software engineering; Information technology","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-80053620694"
"Fakhar, F.; Javed, B.; Rasool, R.; Malik, O.; Zulfiqar, K.","Fakhar, Faiza (55652969000); Javed, Barkha (36975474000); Rasool, Raihan (23028900600); Malik, Owais Ahmed (57301482300); Zulfiqar, Khurram (15137851200)","55652969000; 36975474000; 23028900600; 57301482300; 15137851200","Software level green computing for large scale systems","2012","Journal of Cloud Computing","1","1","4","1","17","0","17","10.1186/2192-113X-1-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926426290&doi=10.1186%2F2192-113X-1-4&partnerID=40&md5=ae9684a4557103d115e9bc92a7868a92","Energy conservation has become a critical issue in modern system electronic devices. Energy wastage in electronic devices occurs in both hardware and software components. Software drives the hardware thus decisions taken during software design and development have significant impact on energy consumption of a computing system. Green Computing addresses energy conservation by application of different techniques at software and hardware level. Energy efficient compiler is a software level green computing technique. Besides compiler optimization, an effective scheduling approach makes efficient use of resources to directly impact the green aspect. Therefore, focus of this paper is identification of energy conservation measures for software level and there utilization at compiler and scheduler. A Distributed Green Compiler (DGC) is presented in this research that is hardware independent and uses an existing distributed compiler. It distributes source code of software over a network, reshapes binary code by applying green strategies during code transformation at compile time and gives green suggestion to software programmer for energy conservation. For scheduling, Distributed Interactive Engineering Toolbox (DIET) scheduler is used and a new algorithm is proposed for the DIET scheduler. The proposed algorithm introduces green aspect in scheduler to effectually make use of resources in such a way that consumption of power and carbon dioxide emission is reduced. Performance analysis of proposed compiler shows that it conserves energy clock cycles up to 40% by applying few green strategies. © 2012 Fakhar et al. © 2019 Elsevier B.V., All rights reserved.","DIET scheduler; Distributed green compiler (DGC); Energy aware compiler (EAC); Energy conservation; GNU compiler collection (GCC); Green aspects","Application programs; Carbon dioxide; Codes (symbols); Computer programming; Cosine transforms; Electronic equipment; Energy conservation; Energy efficiency; Energy utilization; Global warming; Large scale systems; Open source software; Power management; Program compilers; Scheduling; Software design; Thermoelectric equipment; Distributed green compiler (DGC); Distributed Interactive Engineering Toolbox (DIET); Energy aware; Energy conservation measures; GNU compiler collection; Green aspects; Hardware and software components; Software design and development; Green computing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84926426290"
"Capra, E.; Francalanci, C.; Slaughter, S.A.","Capra, Eugenio (22978190200); Francalanci, Chiara (6701736609); Slaughter, Sandra A. (7005458710)","22978190200; 6701736609; 7005458710","Is software ""green""? Application development environments and energy efficiency in open source applications","2012","Information and Software Technology","54","1","","60","71","0","86","10.1016/j.infsof.2011.07.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055078392&doi=10.1016%2Fj.infsof.2011.07.005&partnerID=40&md5=8ce1efe051a2d97d0a318b916bd384a4","Context: The energy efficiency of IT systems, also referred to as Green IT, is attracting more and more attention. While several researchers have focused on the energy efficiency of hardware and embedded systems, the role of application software in IT energy consumption still needs investigation. Objective: This paper aims to define a methodology for measuring software energy efficiency and to understand the consequences of abstraction layers and application development environments for the energy efficiency of software applications. Method: We first develop a measure of energy efficiency that is appropriate for software applications. We then examine how the use of application development environments relates to this measure of energy efficiency for a sample of 63 open source software applications. Results: Our findings indicate that a greater use of application development environments - specifically, frameworks and external libraries - is more detrimental in terms of energy efficiency for larger applications than for smaller applications. We also find that different functional application types have distinctly different levels of energy efficiency, with text and image editing and gaming applications being the most energy inefficient due to their intense use of the processor. Conclusion: We conclude that different designs can have a significant impact on the energy efficiency of software applications. We have related the use of software application development environments to software energy efficiency suggesting that there may be a trade-off between development efficiency and energy efficiency. We propose new research to further investigate this topic. © 2011 Elsevier B.V. All rights reserved. © 2011 Elsevier B.V., All rights reserved.","Green IT; Software development application environment; Software energy efficiency","Abstraction layer; Application development environment; Application softwares; Functional applications; Green IT; Image editing; IT system; Open source application; Open Source Software; Significant impacts; Software applications; Abstracting; Embedded software; Embedded systems; Energy utilization; Open systems; Software design; Energy efficiency","Article","Final","","Scopus","2-s2.0-80055078392"
"van den Wymelenberg, K.; Meek, C.","van den Wymelenberg, Kevin G. (15752016600); Meek, Christopher (36883167000)","15752016600; 36883167000","Simulation-based daylighting design education and technical support","2011","","","","","2557","2564","0","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870219620&partnerID=40&md5=41f5fc02fa98469059d624654a14060e","Building upon consultations from several hundred buildings aiming to meaningfully incorporate daylight we have created an online resource that provides a suite of fundamentally sound daylighting design patterns, titled the Daylighting Pattern Guide. The Guide presents 19 prime examples of well-daylit spaces representing common commercial building types. Each project was photographed, physically measured and simulated. Sensitivity analysis of key daylighting design variables was conducted on each project to demonstrate optimized design outcomes and to illustrate the impact of multiple 'alternate design decisions' on performance. We emphasize creating visually comfortable spaces because our experience suggests this supports occupants' acceptance of energy efficiency measures associated with daylight. © 2012 Elsevier B.V., All rights reserved.","","Comfortable space; Commercial building; Daylighting design; Design decisions; Efficiency measure; Online resources; Optimized designs; Pattern guide; Technical support; Energy efficiency; Office buildings; Daylighting","Conference paper","Final","","Scopus","2-s2.0-84870219620"
"Dani, A.M.; Amrutur, B.; Srikant, Y.N.","Dani, Aparna Mandke (36175490700); Amrutur, Bharadwaj S. (22033751800); Srikant, Y. N. (6701541371)","36175490700; 22033751800; 6701541371","Adaptive power optimization of on-chip SNUCA cache on tiled chip multicore architecture using remap policy","2011","","","","6112994","12","17","0","18","10.1109/WAMCA.2011.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856157629&doi=10.1109%2FWAMCA.2011.14&partnerID=40&md5=6b94c4de2cb578a6ec581ad0dbfdae12","Advances in technology have increased the number of cores and size of caches present on chip multicore platforms(CMPs). As a result, leakage power consumption of on-chip caches has already become a major power consuming component of the memory subsystem. We propose to reduce leakage power consumption in static nonuniform cache architecture( SNUCA) on a tiled CMP by dynamically varying the number of cache slices used and switching off unused cache slices. A cache slice in a tile includes all cache banks present in that tile. Switched-off cache slices are remapped considering the communication costs to reduce cache usage with minimal impact on execution time. This saves leakage power consumption in switched-off L2 cache slices. On an average, the remap policy achieves 41% and 49% higher EDP savings compared to static and dynamic NUCA(DNUCA) cache policies on a scalable tiled CMP, respectively. © 2011 IEEE. © 2012 Elsevier B.V., All rights reserved.","Adaptive optimization; Power efficient NUCA","Adaptive optimization; Chip multi cores; Communication cost; Execution time; L2 Cache; Leakage power consumption; Memory subsystems; Non-Uniform Cache Architecture; On chips; On-chip cache; Power consuming; Power efficient; Power Optimization; Static and dynamic; Tiled CMP; Optimization; Software architecture; Microprocessor chips","Conference paper","Final","","Scopus","2-s2.0-84856157629"
"White, J.; Gray, J.","White, Jules (55492761300); Gray, Jeff G. (13105983500)","55492761300; 13105983500","Workshop on NExt-generation applications of smarTphones (NEAT)","2011","","","","","329","330","0","0","10.1145/2048147.2048233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-81355135434&doi=10.1145%2F2048147.2048233&partnerID=40&md5=1c462e424f02f7d8fd96898867704f72","The mobile sensing and networking capabilities of smartphones create a unique platform for building cyber-physical and other applications that sense and respond to the environment. Moreover, social networking capabilities of these platforms offer new paradigms for dissemination of knowledge, harvesting of user relationship information, and following current events. For example, recent research has yielded cyber-physical applications and cloud services to track patients lifestyle choices for health purposes, monitor CO2 emissions around smartphone users, predict and respond to traffic accidents, measure traffic and derive road quality, and monitor cardiac patients. This workshop aims to investigate the key research challenges in this domain, such as software design impact on power consumption, synchronization of data with the cloud, and challenges of utilizing these services for mission-critical applications. The workshop will also investigate novel new methodologies for applying these computing paradigms to problems of societal importance. © 2011 Elsevier B.V., All rights reserved.","Mobile computing; Smartphones; Social computing","Cardiac patients; Cloud services; Computing paradigm; Lifestyle choices; Mission critical applications; Mobile sensing; Other applications; Research challenges; Road quality; Smartphones; Social computing; Accidents; Mobile computing; Software design; Computer systems programming","Conference paper","Final","","Scopus","2-s2.0-81355135434"
"Krellner, B.; Kunis, R.; Rünger, G.","Krellner, Björn (24829220200); Kunis, Raphael (15061442400); Rünger, Gudula (7004369253)","24829220200; 15061442400; 7004369253","Modeling of energy-sensitive manufacturing processes","2011","IEEE International Conference on Industrial Informatics (INDIN)","","","6034898","334","340","0","2","10.1109/INDIN.2011.6034898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054973995&doi=10.1109%2FINDIN.2011.6034898&partnerID=40&md5=9eaaed3a56e65de5ef08e9850a0aa7ee","Energy-saving manufacturing of products is an important feature for the success of today's producing enterprises. Beside the marketing point of view, energy-efficiency plays a key role due to the fact that the costs for purchasing materials and energy increases. The basis of economic manufacturing are manufacturing processes taking energy-and resource-efficiency into account. Influence factors are not restricted to process planning and the results of planning processes, but also consider the whole product life cycle and its impact on the manufacturing of products. In this article, a specification model for energy-sensitive manufacturing processes is introduced and a data model focusing on the manufacturing of powertrain components is presented. Furthermore, a component-based software reference architecture for the integrated consideration of the energy and resource consumption is proposed. © 2011 IEEE. © 2011 Elsevier B.V., All rights reserved.","","Component based software; Energy increase; Influence factors; Manufacturing process; Marketing points; Planning process; Powertrain components; Reference architecture; Resource consumption; Resource efficiencies; Specification models; Whole product life; Industrial engineering; Information science; Life cycle; Manufacture; Software architecture; Energy efficiency","Conference paper","Final","","Scopus","2-s2.0-80054973995"
"Iqbal, N.; Siddique, M.A.; Henkel, J.","Iqbal, Nabeel (35096420500); Siddique, Muhammad Adnan (55575536200); Henkel, Jörg (35221700400)","35096420500; 55575536200; 35221700400","SEAL: Soft error aware low power scheduling by Monte Carlo state space under the influence of stochastic spatial and temporal dependencies","2011","","","","5981709","134","139","0","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052669263&partnerID=40&md5=b464086d915c740dab12b34acaa5d7e1","A processor's performance and power consumption are tied; an increased performance demands more power, and vice versa. An optimal tradeoff can only be achieved by an improved prediction of the task execution times, prior to an efficient scheduling. Moreover, since the processor's soft error rate is a function of its operating voltage, it is also linked to the performance-power trade-off. The situation is further complicated for the case of multicore architectures where the tasks are to be mapped on separate cores (processing elements). This paper proposes a joint State-Space model to achieve improved task execution time estimation, leading to better scheduling for optimizing the trade-off, particularly in the context of multicore soft real-time systems. It does not assume any 'a priori' knowledge about the task graph or its properties, and is independent of the underlying architecture. It learns the system dynamics over time. The state-space solution is formulated using a recursive implementation of the online Monte Carlo Method. Having obtained the estimates of the execution times, they are compensated for the soft error according to a given soft error rate. At the beginning of each scheduling interval, the low power EDF scheduling decision is carried out to execute the tasks. The proposed method (SEAL) achieves 29% better energy savings compared to state-of-the-art, while the deadline misses are under 7% without the loss of system failure probability. The results obtained clearly show the advantage in terms of energy savings. © 2011 ACM. © 2011 Elsevier B.V., All rights reserved.","low-power scheduling; Monte Carlo; Multicore; Soft error; Software pipeline; Task-execution time","low-power scheduling; MONTE CARLO; Multicore; Soft error; Software pipeline; Task-execution time; Computer aided design; Embedded systems; Energy conservation; Network architecture; Optimization; Pipeline processing systems; Real time systems; Response time (computer systems); Scheduling; Software architecture; Monte Carlo methods","Conference paper","Final","","Scopus","2-s2.0-80052669263"
"Höpfner, H.; Bunse, C.","Höpfner, Hagen (56018258300); Bunse, Christian (55993988000)","56018258300; 55993988000","Energy awareness needs arethinking in software development","2011","","2","","","294","297","0","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052576416&partnerID=40&md5=ea72ccbd3d56cacc500b7396fa1f6dd8","Energy efficiency and -awareness are buzzwords in various areas of information and communication technology and are at the core backbone of GreenIT. Computing centers aim for reducing energy consumption in order to save money and carbon dioxide emissions. Furthermore, GreenIT labels are perfect selling points for computer equipment. Especially battey-powered and mobile devices must consider software's energy consumption in order to prolong their uptime, while keeping the desired or agreed quality of service (QoS). Even if energy awareness regarding hardware has been researched intensively for a couple of years, the analysis of the impact of software on energy consumption is rather novel. We claim that the development of energy-efficient and -aware software systems require a careful re-examination of the many paradigms in software development. © 2011 Elsevier B.V., All rights reserved.","Data processing; Energy awareness; Software engineering","Carbon dioxide emissions; Computer equipments; Computing center; Energy awareness; Energy efficient; Information and Communication Technologies; Reducing energy consumption; Software systems; Carbon dioxide; Data handling; Energy utilization; Global warming; Information technology; Mobile devices; Quality of service; Software design; Energy efficiency","Conference paper","Final","","Scopus","2-s2.0-80052576416"
"Thompson, C.; Schmidt, D.; Turner, H.; White, J.","Thompson, Chris (57213471105); Schmidt, Douglas C. (57203331566); Turner, Hamilton A. (37030179500); White, Jules (55492761300)","57213471105; 57203331566; 37030179500; 55492761300","Analyzing mobile application software power consumption via model-driven engineering","2011","","","","","101","113","0","25","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052480454&partnerID=40&md5=b19fda117ea8a67b2e8776a86af121b9","Smartphones are mobile devices that travel with their owners and provide increasingly powerful services. The software implementing these services must conserve battery power since smartphones may operate for days without being recharged. It is hard, however, to design smartphone software that minimizes power consumption. For example, multiple layers of abstractions and middleware sit between an application and the hardware, which make it hard to predict the power consumption of a potential application design accurately. Application developers must therefore wait until after implementation (when changes are more expensive) to determine the power consumption characteristics of a design. This paper provides three contributions to the study of applying model-driven engineering to analyze power consumption early in the lifecycle of smartphone applications. First, it presents a model-driven methodology for accurately emulating the power consumption of smartphone application architectures. Second, it describes the System Power Optimization Tool (SPOT), which is a model-driven tool that automates power consumption emulation code generation and simplifies analysis. Third, it empirically demonstrates how SPOT can estimate power consumption to within ∼3-4% of actual power consumption for representative smartphone applications. © 2011 Elsevier B.V., All rights reserved.","Low-power; Mobile computing; Model driven engineering","Application architecture; Application developers; Battery power; Code Generation; Low Power; Mobile application software; Model driven engineering; Model-driven; Model-driven methodology; Multiple layers; Potential applications; Power Optimization; Smart phones; Communication systems; Design; Embedded systems; Middleware; Mobile devices; Signal encoding; Software design; Embedded software","Conference paper","Final","","Scopus","2-s2.0-80052480454"
"","","","Advances in Computing and Communications - First International Conference, ACC 2011, Proceedings","2011","Communications in Computer and Information Science","191 CCIS","PART 2","","","","2711","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051569011&partnerID=40&md5=d0bdf52e263fcd792fdea497ae75a9a1","The proceedings contain 274 papers. The topics discussed include: an enhanced port hiding design to handle DoS attacks in an ad-hoc environment; an efficient routing protocol for ad hoc networks; 3-disjoint paths fault-tolerant multi-stage interconnection networks; balancing between utility and privacy for k-anonymity; evaluation of approaches for modeling of security in data warehouses; an in-depth analysis of the epitome of online stealth: keyloggers; and their countermeasures; advanced clustering based intrusion detection (ACID) algorithm; self-organizing MAC protocol switching for performance adaptation in wireless sensor networks; an optimized reduced energy consumption (OREC) algorithm for routing in wireless sensor networks; impact of node density on node connectivity in MANET routing protocols; survey and comparison of frameworks in software architecture; two layered hierarchical model for cognitive wireless sensor networks; and exploiting ILP in a SIMD type vector processor. © 2011 Elsevier B.V., All rights reserved.","","","Conference review","Final","","Scopus","2-s2.0-80051569011"
"","","","Advances in Computing and Communications - First International Conference, ACC 2011, Proceedings","2011","Communications in Computer and Information Science","192 CCIS","PART 3","","","","2711","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051555421&partnerID=40&md5=193d62845df6e7e44293298512225fee","The proceedings contain 274 papers. The topics discussed include: an enhanced port hiding design to handle DoS attacks in an ad-hoc environment; an efficient routing protocol for ad hoc networks; 3-disjoint paths fault-tolerant multi-stage interconnection networks; balancing between utility and privacy for k-anonymity; evaluation of approaches for modeling of security in data warehouses; an in-depth analysis of the epitome of online stealth: keyloggers; and their countermeasures; advanced clustering based intrusion detection (ACID) algorithm; self-organizing MAC protocol switching for performance adaptation in wireless sensor networks; an optimized reduced energy consumption (OREC) algorithm for routing in wireless sensor networks; impact of node density on node connectivity in MANET routing protocols; survey and comparison of frameworks in software architecture; two layered hierarchical model for cognitive wireless sensor networks; and exploiting ILP in a SIMD type vector processor. © 2011 Elsevier B.V., All rights reserved.","","","Conference review","Final","","Scopus","2-s2.0-80051555421"
"","","","Advances in Computing and Communications - First International Conference, ACC 2011, Proceedings","2011","Communications in Computer and Information Science","190 CCIS","PART 1","","","","2711","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051554336&partnerID=40&md5=e48f13f2eeeadf2d64d94b637b640b38","The proceedings contain 274 papers. The topics discussed include: an enhanced port hiding design to handle DoS attacks in an ad-hoc environment; an efficient routing protocol for ad hoc networks; 3-disjoint paths fault-tolerant multi-stage interconnection networks; balancing between utility and privacy for k-anonymity; evaluation of approaches for modeling of security in data warehouses; an in-depth analysis of the epitome of online stealth: keyloggers; and their countermeasures; advanced clustering based intrusion detection (ACID) algorithm; self-organizing MAC protocol switching for performance adaptation in wireless sensor networks; an optimized reduced energy consumption (OREC) algorithm for routing in wireless sensor networks; impact of node density on node connectivity in MANET routing protocols; survey and comparison of frameworks in software architecture; two layered hierarchical model for cognitive wireless sensor networks; and exploiting ILP in a SIMD type vector processor. © 2011 Elsevier B.V., All rights reserved.","","","Conference review","Final","","Scopus","2-s2.0-80051554336"
"","","","Advances in Computing and Communications - First International Conference, ACC 2011, Proceedings","2011","Communications in Computer and Information Science","193 CCIS","PART 4","","","","2711","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051554297&partnerID=40&md5=590aefa204d5e963711517a8681c70db","The proceedings contain 274 papers. The topics discussed include: an enhanced port hiding design to handle DoS attacks in an ad-hoc environment; an efficient routing protocol for ad hoc networks; 3-disjoint paths fault-tolerant multi-stage interconnection networks; balancing between utility and privacy for k-anonymity; evaluation of approaches for modeling of security in data warehouses; an in-depth analysis of the epitome of online stealth: keyloggers; and their countermeasures; advanced clustering based intrusion detection (ACID) algorithm; self-organizing MAC protocol switching for performance adaptation in wireless sensor networks; an optimized reduced energy consumption (OREC) algorithm for routing in wireless sensor networks; impact of node density on node connectivity in MANET routing protocols; survey and comparison of frameworks in software architecture; two layered hierarchical model for cognitive wireless sensor networks; and exploiting ILP in a SIMD type vector processor. © 2011 Elsevier B.V., All rights reserved.","","","Conference review","Final","","Scopus","2-s2.0-80051554297"
"Gilani, S.Z.; Kim, N.S.; Schulte, M.","Gilani, Syed Zohaib (35182952600); Kim, Namsung (35176068600); Schulte, Michael Joseph (7101937386)","35182952600; 35176068600; 7101937386","Energy-efficient floating-point arithmetic for software-defined radio architectures","2011","Proceedings of the International Conference on Application-Specific Systems, Architectures and Processors","","","6043260","122","129","0","11","10.1109/ASAP.2011.6043260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055092218&doi=10.1109%2FASAP.2011.6043260&partnerID=40&md5=b2f853106c08d5069afbc9e37390a1da","The lack of hardware support for floating-point arithmetic in low-power software-defined radio architectures can significantly increase their software design time due to a time-consuming process of converting floating-point code to fixed-point code. Moreover, emerging wireless communication protocols involve several matrix based algorithms that are extremely sensitive to round-off errors in computations. Using fixed-point arithmetic for these algorithms can significantly impact the accuracy of algorithm results and may incur additional energy overhead due to the extra instructions required for fixed-point arithmetic. In this paper, we demonstrate that supporting floating-point arithmetic in hardware can deliver nearly 30% higher performance and energy efficiency than supporting only fixed-point arithmetic for key kernels of modern wireless communication protocols. The improvements can be further enhanced by our proposed high-throughput floating-point fused-multiply-add unit. Applying our proposed fused-multiply-add unit to key kernels improves performance of the baseline floating-point unit by as much as 60%, while reducing energy consumption by 30% and area by 33%. Although our approach may cause execution stalls depending on data, we show the performance impact of these stalls is negligible. We also employ dynamic range-based dynamic voltage and frequency scaling to further reduce the energy consumption of the processor by 25% for the same worst-case performance as the baseline floating-point implementation. © 2011 IEEE. © 2025 Elsevier B.V., All rights reserved.","energy efficiency; floating-point arithmetic; software-defined radio","Digital storage; Forward error correction; Hardware-software codesign; Model checking; Energy; Energy efficient; Fixed-point arithmetics; Floating points; Floating-point arithmetic; Fused multiply-add; Hardware supports; Software-defined radio architectures; Software-defined radios; Wireless communication protocols; Software radio","Conference paper","Final","","Scopus","2-s2.0-80055092218"
